t;T1;T2
1;19,4;25,3
2;19,5;25,9
3;19,4;26,4
4;19,4;27,0
5;19,4;27,5
6;19,5;28,1
7;19,6;28,6
8;18,2;29,0
9;18,2;29,4
10;18,3;29,9
11;18,4;30,4
12;18,4;30,8
13;18,5;31,2
14;18,8;31,6
15;18,7;31,9
16;18,6;32,2
17;18,7;32,6
18;18,8;32,9
19;18,9;33,2
20;19,0;33,5
21;19,2;33,7
22;19,1;33,9
23;19,0;34,2
24;19,1;34,4
25;19,1;34,7
26;19,4;34,9
27;19,5;35,1
28;19,3;35,3
29;19,5;35,6
30;19,4;35,8
31;19,3;35,9
32;19,6;36,1
33;19,9;36,3
34;20,0;36,4
35;20,1;36,7
36;20,4;36,8
37;20,1;36,9
38;20,0;37,1
39;19,9;37,3
40;20,1;37,4
41;20,3;37,5
42;20,4;37,7
43;20,3;37,9
44;20,5;38,0
45;20,4;38,1
46;20,5;38,2
47;20,5;38,3
48;20,4;38,4
49;20,5;38,5
50;20,5;38,6
51;20,6;38,8
52;20,5;38,9
53;20,7;38,9
54;20,7;39,0
55;20,6;39,1
56;20,5;39,2
57;20,7;39,3
58;20,6;39,4
59;20,6;39,4
60;20,7;39,5
61;20,7;39,6
62;20,9;39,7
63;17,3;39,5
64;17,3;39,5
65;17,3;39,6
66;17,3;39,6
67;17,3;39,7
68;17,3;39,7